Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2011,12,1,2973 16TH ST,Yoga to the People,16TH ST,ROADWAY,4,8,,"(37.764848948, -122.419029009)"
2011,12,2,3692 18TH ST,Bi-Rite Creamery,18TH ST,ROADWAY,7,14,,"(37.7615859477, -122.425715008)"
2011,12,3,78 29TH ST,Cafe Seventy8,29TH ST,ROADWAY,6,12,,"(37.7442740083, -122.421343708)"
2011,12,4,1833 FILLMORE ST,Women's Community Clinic,FILLMORE,ROADWAY,6,12,,"(37.7864889475, -122.433649009)"
2011,12,5,1632 HAIGHT ST,FTC Skateboarding,HAIGHT,ROADWAY,5,10,,"(37.7700049481, -122.449201008)"
2011,12,6,2401 HARRISON ST,Flour & Water Restaurant,HARRISON,ROADWAY,5,10,,"(37.7589229478, -122.412185009)"
2011,12,7,1755 POLK ST,"Crepe House, The",POLK,ROADWAY,5,10,,"(37.793037948, -122.421381008)"
2011,12,8,2064 POWELL ST,Citizen Chain Cyclery,POWELL,ROADWAY,3,6,,"(37.8038229177, -122.411252809)"
2011,12,9,1234 VALENCIA ST,Yoga Tree,VALENCIA,ROADWAY,5,10,,"(37.753104948, -122.421046009)"
2011,12,10,1270 VALENCIA ST,Heart Wine Bar and Arizmendi,VALENCIA,ROADWAY,6,12,,"(37.7525459482, -122.421014009)"
2013,1,11,3049 20TH ST,Atlas Cafe,ALABAMA,ROADWAY,5,10,,"(37.758861948, -122.411406009)"
2013,1,12,185 CLARA ST,startupHQ,CLARA,ROADWAY,5,10,,"(37.7796129475, -122.401682009)"
2013,1,13,1900 FOLSOM ST,Truck,FOLSOM,ROADWAY,7,14,,"(37.7667949481, -122.415783009)"
2013,1,14,2700 16TH ST,Dear Mom,HARRISON,ROADWAY,9,18,,"(37.7656989483, -122.413521009)"
2013,3,15,450 RHODE ISLAND ST,Whole Foods,Rhode Island,ROADWAY,12,24,,"(37.7641129482, -122.402987008)"
2013,4,16,780 STANYAN ST,Yoga Tree,Stanyan,ROADWAY,5,10,,"(37.7677829477, -122.452882009)"
2013,6,17,3000 20TH ST,Central Kitchen,20TH ST,ROADWAY,5,10,,"(37.7593249483, -122.411282009)"
2013,6,18,300 PAGE ST,San Francisco Zen Center,PAGE,ROADWAY,6,12,,"(37.7738839481, -122.426055009)"
2013,6,19,1432 VALENCIA ST,Pi Bar,Valencia,ROADWAY,5,10,,"(37.7499079479, -122.420748009)"
2013,8,20,3316 22ND ST,Little Tree Studios,22ND ST,ROADWAY,5,10,,"(37.7554759477, -122.421451009)"
2013,8,21,85 CARL ST,Urban Mercantile and Vierra & Friends,CARL,ROADWAY,3,6,,"(37.7655989481, -122.449515008)"
2013,9,22,2301 FOLSOM ST,"Homestead, The",FOLSOM,ROADWAY,5,10,,"(37.7603959483, -122.414516008)"
2013,8,23,2211 MISSION ST,Gracias Madre,MISSION,ROADWAY,4,8,,"(37.7615489479, -122.418976009)"
2013,12,24,2814 19TH ST,Universal Cafe,19TH ST,ROADWAY,6,12,,"(37.7606289181, -122.410647009)"
2013,12,25,739 BRYANT ST,Shared LLC,BRYANT ST,ROADWAY,5,10,,"(37.7768779479, -122.400934008)"
2013,12,26,1225 FOLSOM ST,Driftwood,FOLSOM,ROADWAY,7,14,,"(37.7744729477, -122.410297009)"
2013,12,27,34 MASON ST,Barbary Coast and Mikkeller,MASON,ROADWAY,6,12,,"(37.7839759476, -122.408981009)"
2014,5,28,1543 MISSION ST,Urban Flow Yoga Studio,MISSION,ROADWAY,9,18,,"(37.7734809478, -122.417716009)"
2013,12,29,2140 MISSION ST,"Sycamore, The",MISSION,ROADWAY,5,10,,"(37.7627849483, -122.419734009)"
2014,5,30,620 TREAT AVE,Southern Pacific Brewing,TREAT,ROADWAY,6,12,,"(37.7601109476, -122.414118009)"
2013,12,31,3150 18TH ST,ActivSpace and Treat Street Bicycle Works,TREAT AVE,ROADWAY,5,10,,"(37.7626989481, -122.414256008)"
2013,12,32,1199 VALENCIA ST,Beretta,VALENCIA,ROADWAY,4,8,,"(37.7538479478, -122.420553008)"
2014,5,33,736 VALENCIA ST,Mission Cheese,VALENCIA,ROADWAY,6,12,,"(37.7611279475, -122.421841008)"
2014,5,34,3417 18TH ST,Linea Caffe,18TH ST,ROADWAY,5,10,,"(37.7616059478, -122.419761008)"
2014,1,35,85 CARL ST,Urban Mercantile and Vierra & Friends,CARL,ROADWAY,2,4,,"(37.7655989481, -122.449515008)"
2014,4,36,2295 HARRISON ST,Mission Cliffs,HARRISON,ROADWAY,8,54,,"(37.7609159477, -122.412334008)"
2014,12,37,4634 03RD ST,VeloBrews Cafe & Cycling Community Center,03RD ST,ROADWAY,5,10,,
2014,12,38,2760 24TH ST,Dynamo Donut and Coffee,24TH ST,ROADWAY,5,10,,"(37.7531169477, -122.407633008)"
2014,12,39,666 CHENERY ST,fitGLENfit,CHENERY,ROADWAY,5,10,,"(37.7347649482, -122.433441009)"
2014,12,40,748 INNES AVE,Archimedes Banya SF,INNES,ROADWAY,5,10,,"(37.7305666979, -122.372704809)"
2014,12,41,200 COLUMBUS AVE,Reveille Coffee,KEARNY,ROADWAY,5,10,,"(37.7973599482, -122.405560009)"
2014,12,42,3438 MISSION ST,Cafe St. Jorge,MISSION ST,ROADWAY,5,10,,"(37.7416679481, -122.422726009)"
2014,12,43,1096 SOUTH VAN NESS AVE,Urban Putt,SOUTH VAN NESS,ROADWAY,5,10,,"(37.7557062984, -122.416879108)"
